Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS006,1,Left Plantar Flexion,1,12,1,EEG1,ESG12,EMG1,0.0004160092503298,0.0014992461074143,6.237002492053318e-07,Fpz,T12L1-R,R-MH,no,no
NIS006,1,Left Plantar Flexion,0,3,1,EEG0,ESG3,EMG1,0.0004518821951933,0.0012117355363443,5.475617141570402e-07,Fp1,L1L2-L,R-MH,YES,no
NIS006,1,Left Plantar Flexion,10,12,1,EEG10,ESG12,EMG1,0.0003447655763011,0.0014992461074143,5.168884482399582e-07,C3,T12L1-R,R-MH,no,no
NIS006,1,Left Plantar Flexion,18,3,1,EEG18,ESG3,EMG1,0.0004253258812241,0.0012117355363443,5.153824848062489e-07,CP4,L1L2-L,R-MH,YES,no
NIS006,1,Left Plantar Flexion,6,12,1,EEG6,ESG12,EMG1,0.0003376984677743,0.0014992461074143,5.062931132904396e-07,FC3,T12L1-R,R-MH,no,no
NIS006,1,Left Plantar Flexion,14,12,1,EEG14,ESG12,EMG1,0.0003335903165861,0.0014992461074143,5.001339836129806e-07,C4,T12L1-R,R-MH,no,no
NIS006,1,Left Plantar Flexion,16,3,1,EEG16,ESG3,EMG1,0.0004103344399482,0.0012117355363443,4.972168226711918e-07,CP3,L1L2-L,R-MH,YES,no
NIS006,1,Left Plantar Flexion,3,12,1,EEG3,ESG12,EMG1,0.0003273687325417,0.0014992461074143,4.908062979524673e-07,F3,T12L1-R,R-MH,no,no
NIS006,1,Left Plantar Flexion,8,12,1,EEG8,ESG12,EMG1,0.0003226846456527,0.0014992461074143,4.837836989173006e-07,FC4,T12L1-R,R-MH,no,no
NIS006,2,Right Knee Flexion,4,12,2,EEG4,ESG12,EMG2,0.0002098752011079,0.0007705322932451,1.6171562000499325e-07,Fz,T12L1-R,L-RF,YES,no
NIS006,2,Right Knee Flexion,5,12,2,EEG5,ESG12,EMG2,0.0001875339221442,0.0007705322932451,1.4450094309104565e-07,F4,T12L1-R,L-RF,YES,no
NIS006,2,Right Knee Flexion,8,12,2,EEG8,ESG12,EMG2,0.0001736935664666,0.0007705322932451,1.3383650209150918e-07,FC4,T12L1-R,L-RF,YES,no
NIS006,2,Right Knee Flexion,14,12,2,EEG14,ESG12,EMG2,0.0001615220098756,0.0007705322932451,1.244579246790389e-07,C4,T12L1-R,L-RF,YES,no
NIS006,2,Right Knee Flexion,2,3,2,EEG2,ESG3,EMG2,0.0001894457091111,0.0006164399674162,1.16781906751633e-07,Fp2,L1L2-L,L-RF,no,no
